ymd,h,m,v
20171101,0,0,482.88
20171101,0,5,493.44
20171101,0,10,421.44
20171101,0,15,476.16
20171101,0,20,394.56
20171101,0,25,344.64
20171101,0,30,447.36
20171101,0,35,481.92
20171101,0,40,421.44
20171101,0,45,334.08
20171101,0,50,333.12
20171101,0,55,332.16
20171101,1,0,333.12
20171101,1,5,332.16
20171101,1,10,326.4
20171101,1,15,326.4
20171101,1,20,326.4
20171101,1,25,346.56
20171101,1,30,450.24
20171101,1,35,492.48
20171101,1,40,497.28
20171101,1,45,460.8
20171101,1,50,354.24
20171101,1,55,348.48
20171101,2,0,352.32
20171101,2,5,350.4
20171101,2,10,468.48
20171101,2,15,484.8
20171101,2,20,492.48
20171101,2,25,495.36
20171101,2,30,491.52
20171101,2,35,453.12
20171101,2,40,326.4
20171101,2,45,441.6
20171101,2,50,491.52
20171101,2,55,475.2
20171101,3,0,440.64
20171101,3,5,486.72
20171101,3,10,493.44
20171101,3,15,487.68
20171101,3,20,485.76
20171101,3,25,370.56
20171101,3,30,483.84
20171101,3,35,493.44
20171101,3,40,491.52
20171101,3,45,487.68
20171101,3,50,488.64
20171101,3,55,340.8
20171101,4,0,342.72
20171101,4,5,476.16
20171101,4,10,466.56
20171101,4,15,443.52
20171101,4,20,491.52
20171101,4,25,488.64
20171101,4,30,488.64
20171101,4,35,489.6
20171101,4,40,489.6
20171101,4,45,373.44
20171101,4,50,390.72
20171101,4,55,489.6
20171101,5,0,492.48
20171101,5,5,492.48
20171101,5,10,490.56
20171101,5,15,453.12
20171101,5,20,346.56
20171101,5,25,342.72
20171101,5,30,321.6
20171101,5,35,466.56
20171101,5,40,491.52
20171101,5,45,455.04
20171101,5,50,470.4
20171101,5,55,491.52
20171101,6,0,488.64
20171101,6,5,470.4
20171101,6,10,342.72
20171101,6,15,443.52
20171101,6,20,495.36
20171101,6,25,496.32
20171101,6,30,494.4
20171101,6,35,495.36
20171101,6,40,497.28
20171101,6,45,373.44
20171101,6,50,351.36
20171101,6,55,478.08
20171101,7,0,472.32
20171101,7,5,456.96
20171101,7,10,497.28
20171101,7,15,492.48
20171101,7,20,495.36
20171101,7,25,477.12
20171101,7,30,347.52
20171101,7,35,361.92
20171101,7,40,480.96
20171101,7,45,492.48
20171101,7,50,495.36
20171101,7,55,498.24
20171101,8,0,495.36
20171101,8,5,371.52
20171101,8,10,315.84
20171101,8,15,375.36
20171101,8,20,482.88
20171101,8,25,470.4
20171101,8,30,492.48
20171101,8,35,490.56
20171101,8,40,495.36
20171101,8,45,492.48
20171101,8,50,498.24
20171101,8,55,499.2
20171101,9,0,346.56
20171101,9,5,386.88
20171101,9,10,498.24
20171101,9,15,502.08
20171101,9,20,499.2
20171101,9,25,500.16
20171101,9,30,405.12
20171101,9,35,338.88
20171101,9,40,486.72
20171101,9,45,478.08
20171101,9,50,495.36
20171101,9,55,491.52
20171101,10,0,490.56
20171101,10,5,494.4
20171101,10,10,494.4
20171101,10,15,489.6
20171101,10,20,380.16
20171101,10,25,352.32
